aaa,aab,aac,aad
rol_aaa,ctl_AAA_AAA_AAA,t,Show SwitchBoard
rol_aaa,ctl_AAA_AAB_AAA,t,Generate APP
rol_aaa,ctl_AAA_AAC_AAA,t,About…
rol_aaa,ctl_AAA_AAC_AAB,t,Help
rol_aaa,ctl_ABA_AAA_AAA,t,Chart
rol_aaa,ctl_ABC_AAA_AAA,t,About…
rol_aaa,ctl_ABB_AAA_AAA,t,Database
