aaa,aab,aac,aad
grp_AAA_AAA,Show,显示,tab_AAA
grp_AAA_AAB,Generate,产生应用,tab_AAA
grp_AAA_AAC,Help,帮助,tab_AAA
grp_ABA_AAA,Single Chart,简单制图,tab_ABA
grp_ABB_AAA,Select Connection,选择连接数据库,tab_ABB
grp_ABC_AAA,About,关于,tab_ABC
