aaa,aab,aac,aad,aae,aaf,aag,aah,aai,aaj,aak,aal,aam,aan,aao,aap
msys_aaaa_aaag,,tblViewName,谭夫有,2018-08-13,aaa,,,,视图名称和定义,0,视图名,Query Name,f,t,t
msys_aaaa_aaaj,,tblQueryDesign,谭夫有,2018-08-15,aaa,,,,查询(视图）设计,1,查询设计,Query Design,f,t,t
msys_aaaa_aaao,,tblControlsInGroup,谭夫有,2018-08-15,aaa,,,,控件定义,3,控件定义,Controls In Group,f,t,t
msys_aaaa_aaas,,tblCallbackFunction,谭夫有,2018-08-15,aaa,,,,控件的回调函数定义,4,回调函数定义,Callback Function In Controller,f,t,t
msys_aaaa_aaau,,tblRoleControlManagement,谭夫有,2018-08-15,,,,,控件权限管理,4,控件权限管理,Role Controller Management,f,t,t
msys_aaaa_aaav,,tblRoleTableManagement,谭夫有,2018-08-15,,,,,表格权限管理,1,表格权限管理,Role Table Management,f,t,t
msys_aaaa_aaaw,,tblRoleColumnManagement,谭夫有,2018-08-15,aaa,,,,字段权限管理,2,字段权限管理,Role Field Management,f,t,t
msys_aaaa_aaax,,tblLog,谭夫有,2018-08-15,,,,,登陆记录,2,登陆记录,Log,f,t,t
dict_aaaa_aabs,迅达内部,Servitel Controller Code,谭夫有,2018-07-11,aaa,,,,Servitel Controller Code in message code,0,Servital 控制器代码,servitel_controller_code,f,t,t
dict_aaaa_aabe,迅达内部,Machine Types,谭夫有,2018-05-17,aaa,,,,曳引机型号,0,曳引机类型,traction_machine_types,f,t,t
dict_aaaa_aabp,迅达内部,t_SCSB,谭夫有,2018-06-22,aaa,,,,SCSB标准化中间转化表,2,SCSB中间表,scsb_code_standardization,f,t,t
dict_aaaa_aabj,迅达内部,Gear_Type,谭夫有,2018-06-09,aaa,,,,齿轮类型,0,齿轮类型,gear_type,f,t,t
dict_aaaa_aabf,迅达内部,Controller Types,谭夫有,2018-05-17,aaa,,,,设备控制器类型,0,控制器类型,controller_Types,f,t,t
dict_aaaa_aabr,迅达内部,Servitel Message and Bionic Message,谭夫有,2018-07-10,,,,,Servitel and Bionic Message定义,2,Message定义,message_defination,f,t,t
dict_aaaa_aabg,迅达内部,Drive Type,谭夫有,2018-05-17,aaa,,,,驱动器类型,0,驱动器类型,drive_type,f,t,t
dict_aaaa_aaav,迅达内部,t_equipment,谭夫有,2018-04-12,aaa,,,,产品生产主体信息,3,产品生产主体信息,product_supplier,f,t,t
dict_aaaa_aaat,迅达内部,召回错误类型SCS code C,谭夫有,2018-04-10,aaa,,,,召回错误类型,0,召回错误类型,type_of_failure,f,t,t
dict_aaaa_aaas,迅达内部,召回组件代码SCS code B,谭夫有,2018-04-10,aaa,,,,召回组件内容描述,1,召回组件Code,condition_and_defective_component,f,t,t
dict_aaaa_aabd,迅达内部,Environment,谭夫有,2018-05-17,aaa,,,,电梯的安装环境,1,电梯所在环境,environment,f,t,t
dict_aaaa_aabk,迅达内部,t_job_status,谭夫有,2018-06-21,aaa,,,,Callback状态标准化中间转换表,1,CBK状态中间表,cbk_status_code_standardization,f,t,t
dict_aaaa_aabl,迅达内部,t_scsag,谭夫有,2018-06-21,aaa,,,,SCSAG标准化中间转换表,1,SCSAG中间表,scsag_code_standardization,f,t,t
dict_aaaa_aabm,迅达内部,t_scsbg,谭夫有,2018-06-21,aaa,,,,SCSBG标准化中间转换表,1,SCSBG中间表,scsbg_code_standardization,f,t,t
dict_aaaa_aabn,迅达内部,t_scsc,谭夫有,2018-06-22,aaa,,,,SCSC标准化中间转换表,1,SCSC中间表,scsc_code_standardization,f,t,t
dict_aaaa_aabh,迅达内部,Car_Door_Type,谭夫有,2018-05-17,aaa,,,,轿厢门的类型,0,门类型,car_door_type,f,t,t
dict_aaaa_aabq,迅达内部,OSC_Bionic_equnr,谭夫有,2018-07-10,aaa,,,,装配Bionic的设备的列表,3,Bionic设备列表,equipment_with_bionic,f,t,t
dict_aaaa_aaau,迅达内部,Callback 状态,谭夫有,2018-04-12,aaa,,,,当前Callback的状态,0,召回状态,callback_status,f,t,t
dict_aaaa_aaaw,迅达内部,技术员表,谭夫有,2018-04-13,aaa,,,,维修人员列表,0,技术员表,technician_list,f,t,t
oper_aaaa_aaaa,迅达内部,t_job_cbk,谭夫有,2018-04-13,aaa,,,,召回列表,3,召回记录,callback,f,t,t
dict_aaaa_aabt,迅达内部,controller_severity_code,谭夫有,2018-07-11,aaa,,,,RMP Message Code的定义,1,Message Code的定义,message_code_defination,f,t,t
oper_aaaa_aaac,迅达内部,data.t_rm_message_extra_tripcount_osc,谭夫有,2018-07-10,,,,,电梯累计运行次数,3,电梯累计运行次数,cumulative_trip_count,f,t,t
dict_aaaa_aabo,迅达内部,t_SCSA,谭夫有,2018-06-22,aaa,,,,SCSA标准化中间转换表,2,SCSA中间表,scsa_code_standardization,f,t,t
oper_aaaa_aaad,迅达内部,data.t_rm_message_extra_triptime_osc,谭夫有,2018-07-11,,,,,电梯累计运行时间,3,电梯累计运行时间,cumulative_trip_time,f,t,t
oper_aaaa_aaae,迅达内部,data.t_rm_message_bionic_osc_4y_error,谭夫有,2018-07-11,,,,,电梯error消息记录,3,电梯error消息记录,error_message_log,f,t,t
oper_aaaa_aaaf,迅达内部,data.t_rm_message_bionic_osc_4y_alarm,谭夫有,2018-07-11,,,,,电梯alarm消息记录,3,电梯alarm消息记录,alarm_message_log,f,t,t
oper_aaaa_aaag,迅达内部,data.t_rm_message_bionic_osc_4y_breakdown,谭夫有,2018-07-11,,,,,电梯breakdown消息记录,3,电梯breakdown消息记录,breakdown_message_log,f,t,t
oper_aaaa_aaah,迅达内部,衍生表,谭夫有,2018-07-12,,,,,一段时间内的运行次数,3,电梯运行次数,trip_count,f,t,t
dict_aaaa_aaai,迅达内部,产品基本信息,谭夫有,2017-09-07,aaa,,,,产品的基本信息，是电梯还是扶梯，及型号和使用状态,2,产品基本信息,product_basic_information,f,t,t
msys_aaaa_aaad,,tblSqlLangrageOfServerType,谭夫有,2018-08-10,,aaa,aab,,不同数据库的SQL语句,1,不同数据库的SQL语句,SQL Langrage Of Server Type,f,t,t
